Parameter,Electricity Requirement(in MU),Electricity Supplied(in MU),Electricity Shortage (in %)
2015-04,89181.4,86697.4,2.8
2015-05,98315,95897.5,2.5
2015-06,92753.8,90644.9,2.3
2015-07,99105.2,97028.3,2.1
2015-08,99166.2,96733.4,2.5
2015-09,99019.7,95915.4,3.1
2015-10,100793,98163.6,2.6
2015-11,86681,85065.5,1.9
2015-12,91066.8,89356.3,1.9
2016-01,93090,91169.4,2.1
2016-02,90564.4,88795.9,2
2016-03,97881.6,96190.2,1.7
2016-04,100757.5,99304.3,1.4
2016-05,101912.4,100859.7,1
2016-06,99491.6,98742.6,0.8
2016-07,97367.9,97129.5,0.2
2016-08,99242.8,98523,0.7
2016-09,101344.9,100195.4,1.1
2016-10,98477,97007.9,1.5
2016-11,92989.8,91563.6,1.5
2016-12,94705.9,93224.7,1.6
2017-01,96505.5,95234.6,1.3
2017-02,90764.7,89648.4,1.2
2017-03,102627.6,101431.4,1.2
2017-04,104349,103890.5,0.4
2017-05,108642.9,108457.9,0.2
2017-06,101265.5,101224.9,0
2017-07,104181,103771,0.4
2017-08,106082.9,106198.2,-0.1
2017-09,102171.3,102461.5,-0.3
2017-10,101526.4,101381.5,0.1
2017-11,95907.3,94888.8,1.1
2017-12,97866.6,96845.9,1
2018-01,101873.1,101281.1,0.6
2018-02,93139.1,92625.6,0.6
2018-03,107731,107115.7,0.6
2018-04,106140.7,105559.1,0.5
2018-05,112991.9,112249.8,0.7
2018-06,110573.1,110024.2,0.5
2018-07,111364.1,110827.1,0.5
2018-08,114626.7,114143.4,0.4
2018-09,112498,111973.8,0.5
2018-10,115583.5,114901.1,0.6
2018-11,102015,101085,0.9
2018-12,104143,103539,0.6
2019-01,104232,103687,0.5
2019-02,95600,95150,0.5
2019-03,111441,111027,0.4
2019-04,113482,113008,0.4
2019-05,122670,122160,0.4
2019-06,120315,119829,0.4
2019-07,117677,117190,0.4
2019-08,114235,113742,0.4
2019-09,110295,109739,0.5
2019-10,101178,100722,0.5
2019-11,96014,95672,0.4
2019-12,101684,101904,-0.2
2020-01,106397,105985,0.4
2020-02,105011,104622,0.4
2020-03,100494,100088,0.4
2020-04,85030,84550,0.6
2020-05,102651,102089,0.5
2020-06,105556,105086,0.4
2020-07,112341,112147,0.2
2020-08,109474,109217,0.2
2020-09,112407,112241,0.1
2020-10,109300,109174,0.1
2020-11,97374,96883,0.5
2020-12,106093,105623,0.4
2021-01,110329,109767,0.5
2021-02,103772,103252,0.5
2021-03,121205,120635,0.5
2021-04,117496,117080,0.4
2021-05,109085,108809,0.3
2021-06,114837,114483,0.3
2021-07,124167,123720,0.4
2021-08,128519,127881,0.5
2021-09,112898,112435,0.4
2021-10,114028,112797,1.1
2021-11,99557,99324,0.2
2021-12,109541,109177,0.3
2022-01,112134,111808,0.3
2022-02,108362,108032,0.3
2022-03,129187,128478,0.5
2022-04,134781,132028,2
2022-05,135765,135156,0.4
2022-06,134060,133263,0.6
2022-07,128689,128255,0.3
2022-08,130855,130390,0.4
2022-09,127226,126914,0.2
2022-10,114068,113944,0.1
2022-11,110465,110252,0.2
2022-12,122291,121913,0.3
2023-01,127512,126759,0.6
2023-02,119097,118564,0.4
2023-03,127039,126825,0.2
2023-04,130414,130082,0.3
2023-05,136846,136504,0.2
2023-06,140520,140276,0.2
2023-07,140618,140419,0.1
2023-08,152176,151324,0.6
2023-09,141827,141299,0.4
2023-10,139832,139441,0.3
2023-11,119421,119308,0.1
2023-12,123264,123131,0.1
2024-01,134995,134359,0.5
2024-02,128083,127828,0.2
2024-03,139040,138951,0.1
2024-04,144403,144280,0.1
2024-05,155346,155157,0.1
2024-06,152650,152374,0.2
2024-07,150030,149652,0.3
2024-08,144271,144117,0.1
2024-09,140725,140611,0.1
2024-10,139217,139188,0
2024-11,123813,123790,0
2024-12,129582,129397,0.1
2025-01,136363,136316,0
2025-02,130604,130565,0
2025-03,146955,146923,0
2025-04,148066,148013,0
2025-05,147948,147892,0
2025-06,149183,149135,0
2025-07,153925,153887,0
2025-08,149795,149765,0
,,,
,,,
"Copyright © 2025, NITI Aayog | India's Climate and Energy Dashboard",,,
https://iced.niti.gov.in,,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.",,,
,,,
